gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160255	60121.94925608948	3.130816581559771	0.14685268236582813	21.319437487430573	7.495390833397527e-101	1.7164445008480337e-98
ENSG00000156265	31971.697216318713	2.999700968579552	0.14690193850470512	20.419750747424445	1.116322989507215e-92	1.2781898229857613e-90
ENSG00000180509	35031.31855325763	3.2315096772010583	0.17162245580082866	18.829177464697807	4.354720289657734e-79	3.3241031544387367e-77
ENSG00000142192	47649.73408993818	3.0890824567963433	0.18156857876654708	17.01330966944534	6.543455076394788e-65	3.7461280312360164e-63
ENSG00000183527	7910.051434923301	2.832635540446175	0.1700494897636012	16.6577126716701	2.6600459309882057e-62	1.2183010363925981e-60
ENSG00000159128	10515.139960221728	2.494067324381639	0.15472532744519632	16.119321675147447	1.866467232917524e-58	7.123683272301882e-57
ENSG00000142168	6492.730818627455	2.9836824694639206	0.22423895169223773	13.305817062322648	2.1413929711265647e-40	7.005414148399762e-39
ENSG00000160307	4686.007756524469	3.3559579059527085	0.28545131281513825	11.756673573703505	6.525485520779563e-32	1.8679202303231497e-30
ENSG00000159197	1664.6175765842706	2.2369318401045115	0.20394224945550193	10.968457227851587	5.418909592452505e-28	1.3788114407462485e-26
ENSG00000160284	7003.484061368089	3.4482846250994643	0.5555947172702441	6.206474824025731	5.418629665408887e-10	1.240866193378635e-8
ENSG00000183421	2747.7832076345203	-0.6382150276999696	0.18063648206333272	-3.5331457987329817	4.106459390033882e-4	0.008548901821070536
ENSG00000166265	1156.4786181740196	-0.6763863396948289	0.2097118470859629	-3.2253129667851885	0.0012583502643392472	0.024013517544473967
ENSG00000156256	5807.11306693512	-0.44728823406150275	0.1475855174285296	-3.030705463888816	0.0024398312313572506	0.04297856553698542
